"Szál";"IntervallumTól";"IntervallumIg";"Megtalált prímek száma";"Indulási idő";"Idő";"Összefoglaló";"Módszer"
"1";"1";"10000";"1229";"1475227582553";"3";"true";"Prim1"
"1";"1";"100000";"9592";"1475227582557";"26";"true";"Prim1"
"1";"1";"1000000";"78498";"1475227582584";"555";"true";"Prim1"
"1";"1";"10000000";"664579";"1475227583140";"15240";"true";"Prim1"
"1";"1";"10000";"1229";"1475227618091";"1";"";""
"1";"1";"10000";"1229";"1475227618067";"26";"true";"Prim2"
"1";"1";"100000";"9592";"1475227618094";"22";"";""
"1";"1";"100000";"9592";"1475227618094";"22";"true";"Prim2"
"1";"1";"1000000";"78498";"1475227618117";"550";"";""
"1";"1";"1000000";"78498";"1475227618116";"552";"true";"Prim2"
"1";"1";"10000000";"664579";"1475227618670";"14585";"";""
"1";"1";"10000000";"664579";"1475227618670";"14586";"true";"Prim2"
"1";"1";"5000";"669";"1475227633291";"0";"";""
"2";"5001";"10000";"560";"1475227633291";"0";"";""
"2";"1";"10000";"1229";"1475227633290";"2";"true";"Prim2"
"1";"1";"50000";"5133";"1475227633293";"11";"";""
"2";"50001";"100000";"4459";"1475227633293";"19";"";""
"2";"1";"100000";"9592";"1475227633292";"21";"true";"Prim2"
"1";"1";"500000";"41538";"1475227633315";"245";"";""
"2";"500001";"1000000";"36960";"1475227633315";"361";"";""
"2";"1";"1000000";"78498";"1475227633314";"362";"true";"Prim2"
"1";"1";"5000000";"348513";"1475227633678";"7403";"";""
"2";"5000001";"10000000";"316066";"1475227633678";"11193";"";""
"2";"1";"10000000";"664579";"1475227633677";"11194";"true";"Prim2"
"1";"1";"3333";"470";"1475227644906";"0";"";""
"2";"3334";"6666";"389";"1475227644906";"0";"";""
"3";"6667";"10000";"370";"1475227644906";"0";"";""
"3";"1";"10000";"1229";"1475227644905";"2";"true";"Prim2"
"1";"1";"33333";"3569";"1475227644909";"9";"";""
"2";"33334";"66666";"3076";"1475227644909";"14";"";""
"3";"66667";"100000";"2947";"1475227644909";"18";"";""
"3";"1";"100000";"9592";"1475227644908";"18";"true";"Prim2"
"1";"1";"333333";"28665";"1475227644932";"183";"";""
"2";"333334";"666666";"25404";"1475227644933";"265";"";""
"3";"666667";"1000000";"24429";"1475227644933";"306";"";""
"3";"1";"1000000";"78498";"1475227644932";"307";"true";"Prim2"
"1";"1";"3333333";"239119";"1475227645241";"5278";"";""
"2";"3333334";"6666666";"216262";"1475227645242";"8264";"";""
"3";"6666667";"10000000";"209198";"1475227645242";"9810";"";""
"3";"1";"10000000";"664579";"1475227645241";"9812";"true";"Prim2"
"1";"1";"2500";"367";"1475227655092";"0";"";""
"2";"2501";"5000";"302";"1475227655092";"0";"";""
"3";"5001";"7500";"281";"1475227655092";"0";"";""
"4";"7501";"10000";"279";"1475227655094";"0";"";""
"4";"1";"10000";"1229";"1475227655092";"1";"true";"Prim2"
"1";"1";"25000";"2762";"1475227655096";"7";"";""
"2";"25001";"50000";"2371";"1475227655096";"11";"";""
"3";"50001";"75000";"2260";"1475227655096";"13";"";""
"4";"75001";"100000";"2199";"1475227655104";"10";"";""
"4";"1";"100000";"9592";"1475227655096";"18";"true";"Prim2"
"1";"1";"250000";"22044";"1475227655116";"206";"";""
"2";"250001";"500000";"19494";"1475227655116";"302";"";""
"3";"500001";"750000";"18700";"1475227655116";"328";"";""
"4";"750001";"1000000";"18260";"1475227655149";"326";"";""
"4";"1";"1000000";"78498";"1475227655115";"361";"true";"Prim2"
"1";"1";"2500000";"183072";"1475227655484";"4170";"";""
"2";"2500001";"5000000";"165441";"1475227655485";"6308";"";""
"3";"5000001";"7500000";"159748";"1475227655492";"7267";"";""
"4";"7500001";"10000000";"156318";"1475227655531";"7865";"";""
"4";"1";"10000000";"664579";"1475227655479";"7917";"true";"Prim2"
"1";"1";"2000";"303";"1475227663416";"1";"";""
"2";"2001";"4000";"247";"1475227663416";"1";"";""
"3";"4001";"6000";"233";"1475227663418";"0";"";""
"4";"6001";"8000";"224";"1475227663421";"0";"";""
"5";"8001";"10000";"222";"1475227663421";"1";"";""
"5";"1";"10000";"1229";"1475227663416";"6";"true";"Prim2"
"1";"1";"20000";"2262";"1475227663424";"5";"";""
"2";"20001";"40000";"1941";"1475227663424";"8";"";""
"3";"40001";"60000";"1854";"1475227663424";"9";"";""
"4";"60001";"80000";"1780";"1475227663428";"15";"";""
"5";"80001";"100000";"1755";"1475227663434";"12";"";""
"5";"1";"100000";"9592";"1475227663423";"23";"true";"Prim2"
"1";"1";"200000";"17984";"1475227663447";"137";"";""
"2";"200001";"400000";"15876";"1475227663447";"175";"";""
"3";"400001";"600000";"15238";"1475227663447";"212";"";""
"4";"600001";"800000";"14853";"1475227663447";"250";"";""
"5";"800001";"1000000";"14547";"1475227663484";"247";"";""
"5";"1";"1000000";"78498";"1475227663447";"285";"true";"Prim2"
