"Szál";"IntervallumTól";"IntervallumIg";"Megtalált prímek száma";"Indulási idõ";"Idõ";"Összefoglaló";"Módszer"
"1";"1";"10000";"1229";"1475226013617";"2";"true";"Prim1"
"1";"1";"100000";"9592";"1475226013620";"40";"true";"Prim1"
"1";"1";"1000000";"78498";"1475226013660";"922";"true";"Prim1"
"1";"1";"10000000";"664579";"1475226014583";"25108";"true";"Prim1"
"1";"1";"10000";"1229";"1475226937892";"5";"";""
"1";"1";"10000";"1229";"1475226937892";"5";"true";"Prim2"
"1";"1";"100000";"9592";"1475226937906";"55";"";""
"1";"1";"100000";"9592";"1475226937899";"63";"true";"Prim2"
"1";"1";"1000000";"78498";"1475226937962";"947";"";""
"1";"1";"1000000";"78498";"1475226937962";"947";"true";"Prim2"
"1";"1";"10000000";"664579";"1475226938909";"22994";"";""
"1";"1";"10000000";"664579";"1475226938909";"22994";"true";"Prim2"
"2";"5001";"10000";"560";"1475226961905";"2";"";""
"1";"1";"5000";"669";"1475226961905";"2";"";""
"2";"1";"10000";"1229";"1475226961905";"2";"true";"Prim2"
"1";"1";"50000";"5133";"1475226961909";"18";"";""
"2";"50001";"100000";"4459";"1475226961910";"22";"";""
"2";"1";"100000";"9592";"1475226961909";"23";"true";"Prim2"
"1";"1";"500000";"41538";"1475226961935";"403";"";""
"2";"500001";"1000000";"36960";"1475226961935";"594";"";""
"2";"1";"1000000";"78498";"1475226961934";"595";"true";"Prim2"
"1";"1";"5000000";"348513";"1475226962531";"10375";"";""
"2";"5000001";"10000000";"316066";"1475226962531";"16050";"";""
"2";"1";"10000000";"664579";"1475226962531";"16050";"true";"Prim2"
"1";"1";"3333";"470";"1475226978584";"0";"";""
"2";"3334";"6666";"389";"1475226978584";"1";"";""
"3";"6667";"10000";"370";"1475226978584";"1";"";""
"3";"1";"10000";"1229";"1475226978581";"7";"true";"Prim2"
"1";"1";"33333";"3569";"1475226978588";"11";"";""
"2";"33334";"66666";"3076";"1475226978588";"18";"";""
"3";"66667";"100000";"2947";"1475226978588";"21";"";""
"3";"1";"100000";"9592";"1475226978588";"21";"true";"Prim2"
