"Szál";"IntervallumTól";"IntervallumIg";"Megtalált prímek száma";"Indulási idő";"Idő";"Összefoglaló";"Módszer"
"1";"1";"10000";"1229";"1475231925525";"3";"true";"Prim1"
"1";"1";"100000";"9592";"1475231925530";"19";"true";"Prim1"
"1";"1";"1000000";"78498";"1475231925549";"381";"true";"Prim1"
"1";"1";"10000000";"664579";"1475231925931";"9761";"true";"Prim1"
"1";"1";"10000";"1229";"1475231944705";"2";"";""
"1";"1";"10000";"1229";"1475231944698";"10";"true";"Prim2"
"1";"1";"100000";"9592";"1475231944710";"25";"";""
"1";"1";"100000";"9592";"1475231944709";"26";"true";"Prim2"
"1";"1";"1000000";"78498";"1475231944736";"396";"";""
"1";"1";"1000000";"78498";"1475231944736";"397";"true";"Prim2"
"1";"1";"10000000";"664579";"1475231945135";"12846";"";""
"1";"1";"10000000";"664579";"1475231945134";"12847";"true";"Prim2"
"1";"1";"5000";"669";"1475231958021";"0";"";""
"2";"5001";"10000";"560";"1475231958021";"1";"";""
"2";"1";"10000";"1229";"1475231958021";"2";"true";"Prim2"
"1";"1";"50000";"5133";"1475231958027";"12";"";""
"2";"50001";"100000";"4459";"1475231958027";"16";"";""
"2";"1";"100000";"9592";"1475231958026";"17";"true";"Prim2"
"1";"1";"500000";"41538";"1475231958044";"218";"";""
"2";"500001";"1000000";"36960";"1475231958045";"297";"";""
"2";"1";"1000000";"78498";"1475231958044";"299";"true";"Prim2"
"1";"1";"5000000";"348513";"1475231958345";"4946";"";""
"2";"5000001";"10000000";"316066";"1475231958350";"8025";"";""
"2";"1";"10000000";"664579";"1475231958344";"8031";"true";"Prim2"
"1";"1";"3333";"470";"1475231966425";"0";"";""
"2";"3334";"6666";"389";"1475231966427";"1";"";""
"3";"6667";"10000";"370";"1475231966428";"1";"";""
"3";"1";"10000";"1229";"1475231966424";"6";"true";"Prim2"
"1";"1";"33333";"3569";"1475231966430";"8";"";""
"2";"33334";"66666";"3076";"1475231966431";"12";"";""
"3";"66667";"100000";"2947";"1475231966439";"15";"";""
"3";"1";"100000";"9592";"1475231966430";"24";"true";"Prim2"
"1";"1";"333333";"28665";"1475231966455";"157";"";""
"2";"333334";"666666";"25404";"1475231966457";"263";"";""
"3";"666667";"1000000";"24429";"1475231966491";"268";"";""
"3";"1";"1000000";"78498";"1475231966455";"304";"true";"Prim2"
"1";"1";"3333333";"239119";"1475231966760";"3326";"";""
"2";"3333334";"6666666";"216262";"1475231966761";"5189";"";""
"3";"6666667";"10000000";"209198";"1475231966763";"5942";"";""
"3";"1";"10000000";"664579";"1475231966760";"5945";"true";"Prim2"
"1";"1";"2500";"367";"1475231972732";"0";"";""
"2";"2501";"5000";"302";"1475231972732";"1";"";""
"4";"7501";"10000";"279";"1475231972732";"1";"";""
"3";"5001";"7500";"281";"1475231972732";"1";"";""
"4";"1";"10000";"1229";"1475231972732";"1";"true";"Prim2"
"1";"1";"25000";"2762";"1475231972734";"4";"";""
"2";"25001";"50000";"2371";"1475231972734";"6";"";""
"3";"50001";"75000";"2260";"1475231972734";"8";"";""
"4";"75001";"100000";"2199";"1475231972734";"10";"";""
"4";"1";"100000";"9592";"1475231972733";"11";"true";"Prim2"
"1";"1";"250000";"22044";"1475231972745";"101";"";""
"2";"250001";"500000";"19494";"1475231972747";"147";"";""
"3";"500001";"750000";"18700";"1475231972749";"185";"";""
"4";"750001";"1000000";"18260";"1475231972763";"194";"";""
"4";"1";"1000000";"78498";"1475231972745";"213";"true";"Prim2"
"1";"1";"2500000";"183072";"1475231972960";"3488";"";""
"2";"2500001";"5000000";"165441";"1475231972960";"6318";"";""
"3";"5000001";"7500000";"159748";"1475231972964";"7163";"";""
"4";"7500001";"10000000";"156318";"1475231972966";"7831";"";""
"4";"1";"10000000";"664579";"1475231972959";"7839";"true";"Prim2"
"1";"1";"2000";"303";"1475231980817";"0";"";""
"2";"2001";"4000";"247";"1475231980818";"0";"";""
"3";"4001";"6000";"233";"1475231980818";"1";"";""
"4";"6001";"8000";"224";"1475231980819";"1";"";""
"5";"8001";"10000";"222";"1475231980820";"1";"";""
"5";"1";"10000";"1229";"1475231980816";"6";"true";"Prim2"
"1";"1";"20000";"2262";"1475231980822";"4";"";""
"2";"20001";"40000";"1941";"1475231980824";"7";"";""
"3";"40001";"60000";"1854";"1475231980829";"5";"";""
"4";"60001";"80000";"1780";"1475231980830";"7";"";""
"5";"80001";"100000";"1755";"1475231980831";"7";"";""
"5";"1";"100000";"9592";"1475231980822";"16";"true";"Prim2"
"1";"1";"200000";"17984";"1475231980839";"127";"";""
"2";"200001";"400000";"15876";"1475231980840";"140";"";""
"3";"400001";"600000";"15238";"1475231980855";"194";"";""
"4";"600001";"800000";"14853";"1475231980879";"213";"";""
"5";"800001";"1000000";"14547";"1475231980922";"222";"";""
